Match ID,Competition Name,Match Date,Home Team,Score Home,Score Away,Away Team
300367134,FIFA World Cup 2018 Qualifiers - Africa,2017-09-05T18:00:00Z,Burkina Faso,2,2,Senegal
300367128,FIFA World Cup 2018 Qualifiers - Africa,2017-10-07T17:30:00Z,Cape Verde Islands,0,2,Senegal
300416936,FIFA World Cup 2018 Qualifiers - Africa,2017-11-10T17:05:00Z,South Africa,0,2,Senegal
300367132,FIFA World Cup 2018 Qualifiers - Africa,2017-11-14T19:30:00Z,Senegal,2,1,South Africa
300377376,Africa Cup of Nations 2017,2017-01-15T19:00:00Z,Tunisia,0,2,Senegal
300377379,Africa Cup of Nations 2017,2017-01-19T19:00:00Z,Senegal,2,0,Zimbabwe
300377377,Africa Cup of Nations 2017,2017-01-23T19:00:00Z,Senegal,2,2,Algeria
300385911,Africa Cup of Nations 2017,2017-01-28T19:00:00Z,Senegal,0,0,Cameroon
300434077,Friendlies,2018-03-23T16:00:00Z,Senegal,1,1,Uzbekistan
300434090,Friendlies,2018-03-27T20:00:00Z,Senegal,0,0,Bosnia and Herzegovina
300331994,FIFA World Cup 2018 Qualifiers - Europe,2017-03-24T17:00:00Z,Georgia,1,3,Serbia
300331980,FIFA World Cup 2018 Qualifiers - Europe,2017-06-11T19:45:00Z,Serbia,1,1,Wales
300331977,FIFA World Cup 2018 Qualifiers - Europe,2017-09-02T17:00:00Z,Serbia,3,0,Moldova
300331995,FIFA World Cup 2018 Qualifiers - Europe,2017-09-05T18:45:00Z,Republic of Ireland,0,1,Serbia
300332002,FIFA World Cup 2018 Qualifiers - Europe,2017-10-06T18:45:00Z,Austria,3,2,Serbia
300332004,FIFA World Cup 2018 Qualifiers - Europe,2017-10-09T19:45:00Z,Serbia,1,0,Georgia
300380817,Friendlies,2017-01-29T20:00:00Z,USA,0,0,Serbia
300418907,Friendlies,2017-11-10T11:35:00Z,China PR,0,2,Serbia
300332101,FIFA World Cup 2018 Qualifiers - Europe,2017-03-24T19:45:00Z,Spain,4,1,Israel
300332064,FIFA World Cup 2018 Qualifiers - Europe,2017-06-11T18:45:00Z,FYR Macedonia,1,2,Spain
300332090,FIFA World Cup 2018 Qualifiers - Europe,2017-09-02T18:45:00Z,Spain,3,0,Italy
300332088,FIFA World Cup 2018 Qualifiers - Europe,2017-09-05T18:45:00Z,Liechtenstein,0,8,Spain
300332078,FIFA World Cup 2018 Qualifiers - Europe,2017-10-06T18:45:00Z,Spain,3,0,Albania
300332094,FIFA World Cup 2018 Qualifiers - Europe,2017-10-09T18:45:00Z,Israel,0,1,Spain
300331896,FIFA World Cup 2018 Qualifiers - Europe,2017-03-25T17:00:00Z,Sweden,4,0,Belarus
300331891,FIFA World Cup 2018 Qualifiers - Europe,2017-08-31T18:45:00Z,Bulgaria,3,2,Sweden
300331892,FIFA World Cup 2018 Qualifiers - Europe,2017-09-03T16:00:00Z,Belarus,0,4,Sweden
300331901,FIFA World Cup 2018 Qualifiers - Europe,2017-10-07T17:00:00Z,Sweden,8,0,Luxembourg
300331900,FIFA World Cup 2018 Qualifiers - Europe,2017-10-10T18:45:00Z,Netherlands,2,0,Sweden
300417856,FIFA World Cup 2018 Qualifiers - Europe,2017-11-10T19:45:00Z,Sweden,1,0,Italy
300417855,FIFA World Cup 2018 Qualifiers - Europe,2017-11-13T19:45:00Z,Italy,0,0,Sweden
300390085,Friendlies,2017-06-13T17:45:00Z,Norway,1,1,Sweden
300431276,Friendlies,2018-03-24T17:00:00Z,Sweden,1,2,Chile
300434095,Friendlies,2018-03-27T20:30:00Z,Romania,1,0,Sweden
300380799,Friendlies,2017-06-01T20:45:00Z,Switzerland,1,0,Belarus
300331924,FIFA World Cup 2018 Qualifiers - Europe,2017-03-25T17:00:00Z,Switzerland,1,0,Latvia
300331936,FIFA World Cup 2018 Qualifiers - Europe,2017-06-09T18:45:00Z,Faroe Islands,0,2,Switzerland
300331931,FIFA World Cup 2018 Qualifiers - Europe,2017-08-31T18:45:00Z,Switzerland,3,0,Andorra
300331943,FIFA World Cup 2018 Qualifiers - Europe,2017-09-03T18:45:00Z,Latvia,0,3,Switzerland
300331920,FIFA World Cup 2018 Qualifiers - Europe,2017-10-07T19:45:00Z,Switzerland,5,2,Hungary
300417854,FIFA World Cup 2018 Qualifiers - Europe,2017-11-09T19:45:00Z,Northern Ireland,0,1,Switzerland
300417850,FIFA World Cup 2018 Qualifiers - Europe,2017-11-12T17:00:00Z,Switzerland,0,0,Northern Ireland
300426623,Friendlies,2018-03-23T18:00:00Z,Greece,0,1,Switzerland
300379274,Friendlies,2017-01-04T13:30:00Z,Tunisia,2,0,Uganda
300390351,Friendlies,2017-03-24T18:00:00Z,Tunisia,0,1,Cameroon
300367097,FIFA World Cup 2018 Qualifiers - Africa,2017-09-01T20:00:00Z,Tunisia,2,1,Congo DR
300367103,FIFA World Cup 2018 Qualifiers - Africa,2017-09-05T17:30:00Z,Congo DR,2,2,Tunisia
300367091,FIFA World Cup 2018 Qualifiers - Africa,2017-10-07T17:00:00Z,Guinea,1,4,Tunisia
300367100,FIFA World Cup 2018 Qualifiers - Africa,2017-11-11T17:30:00Z,Tunisia,0,0,Libya
300377373,Africa Cup of Nations 2017,2017-01-19T16:00:00Z,Algeria,1,2,Tunisia
300377370,Africa Cup of Nations 2017,2017-01-23T19:00:00Z,Zimbabwe,2,4,Tunisia
300385912,Africa Cup of Nations 2017,2017-01-28T16:00:00Z,Burkina Faso,2,0,Tunisia
300377321,Friendlies,2017-06-04T17:00:00Z,Republic of Ireland,3,1,Uruguay
300380265,Friendlies,2017-06-07T18:45:00Z,Italy,3,0,Uruguay
300418487,Friendlies,2017-11-14T18:45:00Z,Austria,2,1,Uruguay
300362090,FIFA World Cup 2018 Qualifiers - South America,2017-09-05T23:00:00Z,Paraguay,1,2,Uruguay
300362097,FIFA World Cup 2018 Qualifiers - South America,2017-10-05T21:00:00Z,Venezuela,0,0,Uruguay
300362080,FIFA World Cup 2018 Qualifiers - South America,2017-10-10T23:30:00Z,Uruguay,4,2,Bolivia
300419863,Friendlies,2018-03-23T11:35:00Z,Uruguay,2,0,Czech Republic
300436464,Friendlies,2018-03-26T11:35:00Z,Wales,0,1,Uruguay
